Character_1,Character_2,Counts
rachel,rachel,0
ross,rachel,1
monica,rachel,0
phoeb,rachel,0
joey,rachel,0
chandler,rachel,0
rachel,ross,1
ross,ross,0
monica,ross,1
phoeb,ross,1
joey,ross,2
chandler,ross,0
rachel,monica,1
ross,monica,1
monica,monica,0
phoeb,monica,1
joey,monica,0
chandler,monica,0
rachel,phoeb,1
ross,phoeb,1
monica,phoeb,1
phoeb,phoeb,0
joey,phoeb,0
chandler,phoeb,0
rachel,joey,1
ross,joey,0
monica,joey,1
phoeb,joey,1
joey,joey,0
chandler,joey,2
rachel,chandler,0
ross,chandler,0
monica,chandler,1
phoeb,chandler,0
joey,chandler,0
chandler,chandler,0
