Season,Character,Sentiment,Count,percent
01,CHANDLER,Negative,23,0.25274725274725274
01,CHANDLER,Positive,68,0.7472527472527473
01,JOEY,Negative,18,0.2535211267605634
01,JOEY,Positive,53,0.7464788732394366
01,MONICA,Negative,32,0.2909090909090909
01,MONICA,Positive,78,0.7090909090909091
01,PHOEBE,Negative,20,0.19230769230769232
01,PHOEBE,Positive,84,0.8076923076923077
01,RACHEL,Negative,26,0.20967741935483872
01,RACHEL,Positive,98,0.7903225806451613
01,ROSS,Negative,37,0.3135593220338983
01,ROSS,Positive,81,0.6864406779661016
02,CHANDLER,Negative,18,0.21428571428571427
02,CHANDLER,Positive,66,0.7857142857142857
02,JOEY,Negative,17,0.265625
02,JOEY,Positive,47,0.734375
02,MONICA,Negative,17,0.1650485436893204
02,MONICA,Positive,86,0.8349514563106796
02,PHOEBE,Negative,13,0.18309859154929578
02,PHOEBE,Positive,58,0.8169014084507042
02,RACHEL,Negative,23,0.19327731092436976
02,RACHEL,Positive,96,0.8067226890756303
02,ROSS,Negative,30,0.25210084033613445
02,ROSS,Positive,89,0.7478991596638656
03,CHANDLER,Negative,34,0.3090909090909091
03,CHANDLER,Positive,76,0.6909090909090909
03,JOEY,Negative,16,0.17777777777777778
03,JOEY,Positive,74,0.8222222222222222
03,MONICA,Negative,27,0.2288135593220339
03,MONICA,Positive,91,0.7711864406779662
03,PHOEBE,Negative,28,0.23529411764705882
03,PHOEBE,Positive,91,0.7647058823529411
03,RACHEL,Negative,26,0.15950920245398773
03,RACHEL,Positive,137,0.8404907975460123
03,ROSS,Negative,51,0.255
03,ROSS,Positive,149,0.745
04,CHANDLER,Negative,30,0.2054794520547945
04,CHANDLER,Positive,116,0.7945205479452054
04,JOEY,Negative,23,0.2
04,JOEY,Positive,92,0.8
04,MONICA,Negative,32,0.2882882882882883
04,MONICA,Positive,79,0.7117117117117117
04,PHOEBE,Negative,23,0.18110236220472442
04,PHOEBE,Positive,104,0.8188976377952756
04,RACHEL,Negative,33,0.1853932584269663
04,RACHEL,Positive,145,0.8146067415730337
04,ROSS,Negative,24,0.16551724137931034
04,ROSS,Positive,121,0.8344827586206897
05,CHANDLER,Negative,36,0.2155688622754491
05,CHANDLER,Positive,131,0.7844311377245509
05,JOEY,Negative,31,0.25
05,JOEY,Positive,93,0.75
05,MONICA,Negative,32,0.22377622377622378
05,MONICA,Positive,111,0.7762237762237763
05,PHOEBE,Negative,33,0.2558139534883721
05,PHOEBE,Positive,96,0.7441860465116279
05,RACHEL,Negative,29,0.1638418079096045
05,RACHEL,Positive,148,0.8361581920903954
05,ROSS,Negative,26,0.20634920634920634
05,ROSS,Positive,100,0.7936507936507936
06,CHANDLER,Negative,29,0.17901234567901234
06,CHANDLER,Positive,133,0.8209876543209876
06,JOEY,Negative,31,0.20666666666666667
06,JOEY,Positive,119,0.7933333333333333
06,MONICA,Negative,38,0.24675324675324675
06,MONICA,Positive,116,0.7532467532467533
06,PHOEBE,Negative,22,0.171875
06,PHOEBE,Positive,106,0.828125
06,RACHEL,Negative,35,0.20348837209302326
06,RACHEL,Positive,137,0.7965116279069767
06,ROSS,Negative,30,0.22388059701492538
06,ROSS,Positive,104,0.7761194029850746
07,CHANDLER,Negative,29,0.2230769230769231
07,CHANDLER,Positive,101,0.7769230769230769
07,JOEY,Negative,33,0.2214765100671141
07,JOEY,Positive,116,0.7785234899328859
07,MONICA,Negative,18,0.16822429906542055
07,MONICA,Positive,89,0.8317757009345794
07,PHOEBE,Negative,27,0.2125984251968504
07,PHOEBE,Positive,100,0.7874015748031497
07,RACHEL,Negative,37,0.21893491124260356
07,RACHEL,Positive,132,0.7810650887573964
07,ROSS,Negative,25,0.20833333333333334
07,ROSS,Positive,95,0.7916666666666666
08,CHANDLER,Negative,26,0.28888888888888886
08,CHANDLER,Positive,64,0.7111111111111111
08,JOEY,Negative,29,0.2230769230769231
08,JOEY,Positive,101,0.7769230769230769
08,MONICA,Negative,26,0.23008849557522124
08,MONICA,Positive,87,0.7699115044247787
08,PHOEBE,Negative,24,0.18604651162790697
08,PHOEBE,Positive,105,0.813953488372093
08,RACHEL,Negative,28,0.1728395061728395
08,RACHEL,Positive,134,0.8271604938271605
08,ROSS,Negative,43,0.2529411764705882
08,ROSS,Positive,127,0.7470588235294118
09,CHANDLER,Negative,34,0.2764227642276423
09,CHANDLER,Positive,89,0.7235772357723578
09,JOEY,Negative,31,0.2627118644067797
09,JOEY,Positive,87,0.7372881355932204
09,MONICA,Negative,32,0.23529411764705882
09,MONICA,Positive,104,0.7647058823529411
09,PHOEBE,Negative,25,0.1968503937007874
09,PHOEBE,Positive,102,0.8031496062992126
09,RACHEL,Negative,27,0.19148936170212766
09,RACHEL,Positive,114,0.8085106382978723
09,ROSS,Negative,39,0.319672131147541
09,ROSS,Positive,83,0.680327868852459
10,CHANDLER,Negative,13,0.16883116883116883
10,CHANDLER,Positive,64,0.8311688311688312
10,JOEY,Negative,37,0.30327868852459017
10,JOEY,Positive,85,0.6967213114754098
10,MONICA,Negative,17,0.20987654320987653
10,MONICA,Positive,64,0.7901234567901234
10,PHOEBE,Negative,18,0.18181818181818182
10,PHOEBE,Positive,81,0.8181818181818182
10,RACHEL,Negative,23,0.16546762589928057
10,RACHEL,Positive,116,0.8345323741007195
10,ROSS,Negative,44,0.2953020134228188
10,ROSS,Positive,105,0.7046979865771812
